mexico freed us marine reservist sgt|us|,墨西哥,释放,我们,海洋,预备役,上士|我们|我们|pronoun|我们|我们|我们(pronoun)+|
according to the times baer was waiting for a friend at a bus terminal in new york city when an idea gripped him and he began scribbling on a note pad|pad|根据,纽约,时报,baer,等待,在,一,个,巴士,总站,在,纽约城,一,位,朋友,当,一,个,想法,抓住,他,，,他,开始,在,笔记本,上,乱涂,乱画|||noun|垫|垫|垫(noun)+衬垫(noun)+便笺本(noun)+垫子(noun)+路(noun)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|idea|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|||noun|理念|理念|理念(noun)+思想(noun)+想法(noun)+主意(noun)+概念(noun)+构想(noun)+念头(noun)+表象(noun)+点子(noun)+计(noun)+念(noun)+心裁(noun)+心思(noun)+意(noun)+意见(noun)+意念(noun)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|game|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|游戏|游戏|noun|游戏|游戏|游戏(noun)+比赛(noun)+赛(noun)+盘(noun)+玩耍(noun)+勇敢的(adjective)+有胆量的(adjective)+赌钱(verb)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|box|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|||noun|盒|盒|盒(noun)+框(noun)+箱(noun)+盒子(noun)+椷(noun)+框符(noun)+簏(noun)+匣(noun)+匣子(noun)+箱子(noun)+轴衬(noun)+轴瓦(noun)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|let|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|让|让|verb|让|让|让(verb)+允许(verb)+出租(verb)+放出(verb)+给(verb)+虽(verb)+虽然(verb)+虽说(verb)+随(verb)+听(verb)+听凭(verb)+听任(verb)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|people|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|人们|人们|noun|人|人|人(noun)+人民(noun)+人们(noun)+民(noun)+大众(noun)+氓(noun)+甿(noun)+民众(noun)+民族(noun)+生灵(noun)+萌(verb)+使住人(verb)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|play|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|游戏|游戏|verb|玩|玩|玩(noun)+游戏(noun)+戏(noun)+戏剧(noun)+比赛(noun)+表演(noun)+赌博(noun)+剧(noun)+剧本(noun)+嬉(noun)+嬉戏(noun)+玩(verb)+玩弄(verb)+逗(verb)+赌钱(verb)+嫽(verb)+弄(verb)+盘弄(verb)+饰演(verb)+耍(verb)+吹奏(verb)+玩耍(verb)+玩儿(verb)+演(verb)+演出(verb)+演戏(verb)+游玩(verb)+奏(verb)+顽(verb)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|board|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|板|滑板|noun|板|板|板(noun)+板子(noun)+部(noun)+管理(noun)+木板(noun)+木版(noun)+舷(noun)+镶板(noun)+包饭(verb)+寄宿(verb)+铺地板(verb)+上(verb)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|action|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|行动|行动|noun|行动|行动|行动(noun)+动作(noun)+作用(noun)+行为(noun)+行径(noun)+议案(noun)+作为(noun)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|other|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|其他|其他|adjective|其他|其他|其他(adjective)+其它(adjective)+别(adjective)+另(adjective)+另外(adjective)+旁(adjective)+另一样子(adverb)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|most|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|大多数|大多数|adjective|最|最|最(adjective)+多数(adjective)+最为(adjective)+最多(adjective)+大多(adjective)+顶(adjective)+多半(adjective)+泰(adjective)+特大(adjective)+大多数(noun)+大部分(noun)+非常(adverb)+极其(adverb)+绝(adverb)+|
the idea was a game box that would let people to play board action sports and other games on most television sets|television|这,是,一,款,方块,游戏,，,会,让,人们,在,大多数,电视机,上,玩,滑板,行动,运动,和,其他,游戏|电视机|电视机|noun|电视|电视|电视(noun)+电视机(noun)+|
a boss at his job gave him $2500 and two staffers to pursue the idea|boss|在,他,的,工作,的,老板,给,他,$2500,及,两,位,职员,追求,的,理念|老板|老板|noun|老板|老板|老板(noun)+上司(noun)+板(noun)+工头(noun)+经理(noun)+头子(noun)+主子(noun)+|
a boss at his job gave him $2500 and two staffers to pursue the idea|job|在,他,的,工作,的,老板,给,他,$2500,及,两,位,职员,追求,的,理念|工作|工作|noun|工作|工作|工作(noun)+饭碗(noun)+岗位(noun)+劳工(noun)+事(noun)+业(noun)+承包(verb)+|
a boss at his job gave him $2500 and two staffers to pursue the idea|him|在,他,的,工作,的,老板,给,他,$2500,及,两,位,职员,追求,的,理念|他|他|pronoun|他|他|他(pronoun)+之(pronoun)+|
a boss at his job gave him $2500 and two staffers to pursue the idea|two|在,他,的,工作,的,老板,给,他,$2500,及,两,位,职员,追求,的,理念|||CC||二|二()+双()+贰(noun)+|
a boss at his job gave him $2500 and two staffers to pursue the idea|pursue|在,他,的,工作,的,老板,给,他,$2500,及,两,位,职员,追求,的,理念|追求|追求|TO||追求|追求(verb)+奉行(verb)+推行(verb)+追寻(verb)+迹(verb)+适(verb)+探求(verb)+图(verb)+逐(verb)+追(verb)+追赶(verb)+追逐(verb)+|
a boss at his job gave him $2500 and two staffers to pursue the idea|idea|在,他,的,工作,的,老板,给,他,$2500,及,两,位,职员,追求,的,理念|理念|理念|DT||理念|理念(noun)+思想(noun)+想法(noun)+主意(noun)+概念(noun)+构想(noun)+念头(noun)+表象(noun)+点子(noun)+计(noun)+念(noun)+心裁(noun)+心思(noun)+意(noun)+意见(noun)+意念(noun)+|
baer and his employer sanders associates would file for the first video-game patent in 1971|employer|贝尔,和,他,的,雇主,桑德斯,同伙,将,文件,的,第一,个,视频,游戏,专利,在,1971,年|雇主|雇主|noun|雇主|雇主|雇主(noun)+板(noun)+|
baer and his employer sanders associates would file for the first video-game patent in 1971|file|贝尔,和,他,的,雇主,桑德斯,同伙,将,文件,的,第一,个,视频,游戏,专利,在,1971,年|文件|文件|verb|锉|文件|文件(noun)+档案(noun)+案(noun)+锉(noun)+卷宗(noun)+列(noun)+锉(verb)+归档(verb)+|
baer and his employer sanders associates would file for the first video-game patent in 1971|first|贝尔,和,他,的,雇主,桑德斯,同伙,将,文件,的,第一,个,视频,游戏,专利,在,1971,年|第一个||adjective|第一|第一|第一(adjective)+首先(adjective)+首(adjective)+初(adjective)+第一个(adjective)+首要的(adjective)+头(adjective)+元(adjective)+原始(adjective)+最初(adjective)+第一()+先()+第一次()+甲()+一次()+上()+上个()+首次(adverb)+初(adverb)+憖(adverb)+乍(adverb)+开端(noun)+开始(noun)+起点(noun)+一日(noun)+|
while his console launched what would become a multi-billion-dollar industry|while|虽然,他,的,控制台,发起,什么,将,成为,一,个,规模,高,达,数以,十亿,美元,计,的,行业|||preposition|直到|而|而(conjunction)+当时(conjunction)+际(conjunction)+却(conjunction)+斯(conjunction)+正在(conjunction)+消磨(verb)+消(verb)+直到(preposition)+时间(noun)+|
while his console launched what would become a multi-billion-dollar industry|what|虽然,他,的,控制台,发起,什么,将,成为,一,个,规模,高,达,数以,十亿,美元,计,的,行业|什么|什么|pronoun|多么|什么|什么(adjective)+哪(adjective)+奚(adjective)+多么(pronoun)+何(pronoun)+曷(pronoun)+孰(pronoun)+|
while his console launched what would become a multi-billion-dollar industry|become|虽然,他,的,控制台,发起,什么,将,成为,一,个,规模,高,达,数以,十亿,美元,计,的,行业|成为|成为|verb|成为|成为|成为(verb)+变成(verb)+变(verb)+成(verb)+为(verb)+作(verb)+做(verb)+|
while his console launched what would become a multi-billion-dollar industry|industry|虽然,他,的,控制台,发起,什么,将,成为,一,个,规模,高,达,数以,十亿,美元,计,的,行业|行业|行业|noun|工业|工业|工业(noun)+行业(noun)+产业(noun)+业(noun)+业界(noun)+工商界(noun)+|
his single most popular product was actually simon the memory game that was released in 1978|single|他,单,最,受,欢迎,的,产品,是,实际上,西蒙,于,1978,年,发布,的,记忆,游戏|单|单|adjective|单|单|单(adjective)+单一(adjective)+单个(adjective)+单身(adjective)+一(adjective)+独(adjective)+独身(adjective)+独身主义的(adjective)+个别(adjective)+只(adjective)+独身者(noun)+独身主义者(noun)+|
his single most popular product was actually simon the memory game that was released in 1978|most|他,单,最,受,欢迎,的,产品,是,实际上,西蒙,于,1978,年,发布,的,记忆,游戏|最|最|adverb|非常|最|最(adjective)+多数(adjective)+最为(adjective)+最多(adjective)+大多(adjective)+顶(adjective)+多半(adjective)+泰(adjective)+特大(adjective)+大多数(noun)+大部分(noun)+非常(adverb)+极其(adverb)+绝(adverb)+|
his single most popular product was actually simon the memory game that was released in 1978|popular|他,单,最,受,欢迎,的,产品,是,实际上,西蒙,于,1978,年,发布,的,记忆,游戏|受欢迎||adjective|流行|流行|流行(adjective)+受欢迎(adjective)+普及(adjective)+通俗(adjective)+得人心(adjective)+民间(adjective)+普(adjective)+热(adjective)+有人缘儿(adjective)+|
his single most popular product was actually simon the memory game that was released in 1978|product|他,单,最,受,欢迎,的,产品,是,实际上,西蒙,于,1978,年,发布,的,记忆,游戏|产品|产品|noun|产品|产品|产品(noun)+产物(noun)+制品(noun)+产量(noun)+乘积(noun)+活(noun)+积(noun)+|
his single most popular product was actually simon the memory game that was released in 1978|memory|他,单,最,受,欢迎,的,产品,是,实际上,西蒙,于,1978,年,发布,的,记忆,游戏|记忆|记忆|noun|记忆|记忆|记忆(noun)+存储(noun)+记性(noun)+记忆力(noun)+|
his single most popular product was actually simon the memory game that was released in 1978|game|他,单,最,受,欢迎,的,产品,是,实际上,西蒙,于,1978,年,发布,的,记忆,游戏|游戏|游戏|noun|游戏|游戏|游戏(noun)+比赛(noun)+赛(noun)+盘(noun)+玩耍(noun)+勇敢的(adjective)+有胆量的(adjective)+赌钱(verb)+|
simon with four colored buttons with corresponding audio tones became an instant best-seller versions of it are sold to this day|four|西蒙,与,四,个,彩色,按钮,与,相应,的,音频,音调,成为,它,的,版本,为了,这,一,天,出售,即时,畅销书|四|四|CD||四|四()+|
simon with four colored buttons with corresponding audio tones became an instant best-seller versions of it are sold to this day|corresponding|西蒙,与,四,个,彩色,按钮,与,相应,的,音频,音调,成为,它,的,版本,为了,这,一,天,出售,即时,畅销书|相应|相应|adjective|相应|相应|相应(adjective)+对应的(adjective)+通信的(adjective)+|
simon with four colored buttons with corresponding audio tones became an instant best-seller versions of it are sold to this day|audio|西蒙,与,四,个,彩色,按钮,与,相应,的,音频,音调,成为,它,的,版本,为了,这,一,天,出售,即时,畅销书|||adjective|伴音|伴音|伴音(adjective)+|
simon with four colored buttons with corresponding audio tones became an instant best-seller versions of it are sold to this day|instant|西蒙,与,四,个,彩色,按钮,与,相应,的,音频,音调,成为,它,的,版本,为了,这,一,天,出售,即时,畅销书|||adjective|瞬间|瞬间|瞬间(adjective)+即刻(adjective)+瞬间(noun)+瞬(noun)+片刻(noun)+霎(noun)+|
simon with four colored buttons with corresponding audio tones became an instant best-seller versions of it are sold to this day|day|西蒙,与,四,个,彩色,按钮,与,相应,的,音频,音调,成为,它,的,版本,为了,这,一,天,出售,即时,畅销书|天|天|noun|日|日|日(noun)+天(noun)+白天(noun)+日子(noun)+辰(noun)+旦(noun)+昼(noun)+|
by the time of his death baer had more than 150 patents|time|到,他,逝世,的,时候,贝尔,已经,超过,150,项,专利|时候|时候|noun|时间|时间|时间(noun)+时(noun)+时候(noun)+时刻(noun)+遍(noun)+辰(noun)+度(noun)+工夫(noun)+光阴(noun)+候(noun)+季节(noun)+年份(noun)+年华(noun)+倍(noun)+拍(noun)+拍子(noun)+期(noun)+期间(noun)+秋(noun)+趟(noun)+年头(noun)+安排正在(verb)+|
by the time of his death baer had more than 150 patents|death|到,他,逝世,的,时候,贝尔,已经,超过,150,项,专利|||noun|死亡|死亡|死亡(noun)+长眠(noun)+死命(noun)+终(noun)+诛(noun)+|
by the time of his death baer had more than 150 patents|more|到,他,逝世,的,时候,贝尔,已经,超过,150,项,专利|||adjective|更|更多|更多(adverb)+更(adverb)+更加(adverb)+更好(adverb)+还(adverb)+外加(adverb)+更(adjective)+更加(adjective)+更好(adjective)+弥(adjective)+|
he was awarded the national medal of technology in 2006 the same year he donated all of his prototypes and related documents to the smithsonian institute|national|他,被,授予,美国,国家,技术,奖,2006,年,的,同年,他,捐出,全部,他,的,原型,和,史密森,学会,有关,的,文件|国|国家|adjective|国民|国民|国民(adjective)+国(adjective)+国立(adjective)+全国性(adjective)+民族的(adjective)+公民(noun)+|
he was awarded the national medal of technology in 2006 the same year he donated all of his prototypes and related documents to the smithsonian institute|medal|他,被,授予,美国,国家,技术,奖,2006,年,的,同年,他,捐出,全部,他,的,原型,和,史密森,学会,有关,的,文件|||noun|勋章|勋章|勋章(noun)+奖章(noun)+勋(noun)+|
he was awarded the national medal of technology in 2006 the same year he donated all of his prototypes and related documents to the smithsonian institute|technology|他,被,授予,美国,国家,技术,奖,2006,年,的,同年,他,捐出,全部,他,的,原型,和,史密森,学会,有关,的,文件|技术|技术|noun|技术|技术|技术(noun)+工艺学(noun)+|
he was awarded the national medal of technology in 2006 the same year he donated all of his prototypes and related documents to the smithsonian institute|same|他,被,授予,美国,国家,技术,奖,2006,年,的,同年,他,捐出,全部,他,的,原型,和,史密森,学会,有关,的,文件|同|同年|adjective||相同|相同(noun)+同样的事物(noun)+同(pronoun)+同一(pronoun)+同样(pronoun)+一样(pronoun)+仝(pronoun)+一样(adverb)+如出一辙(adverb)+所谓(adverb)+一般(adverb)+|
he was awarded the national medal of technology in 2006 the same year he donated all of his prototypes and related documents to the smithsonian institute|year|他,被,授予,美国,国家,技术,奖,2006,年,的,同年,他,捐出,全部,他,的,原型,和,史密森,学会,有关,的,文件|年|同年|noun|年|年|年(noun)+年度(noun)+岁(noun)+春秋(noun)+年头(noun)+秋(noun)+|
he was awarded the national medal of technology in 2006 the same year he donated all of his prototypes and related documents to the smithsonian institute|all|他,被,授予,美国,国家,技术,奖,2006,年,的,同年,他,捐出,全部,他,的,原型,和,史密森,学会,有关,的,文件|全|全部|DT||所有|所有(adjective)+都(adjective)+凡(adjective)+凡是(adjective)+皆(adjective)+尽是(adjective)+俱(adjective)+均(adjective)+佥(adjective)+通(adjective)+通通(adjective)+咸(adjective)+胥(adjective)+芸芸(adjective)+终(adjective)+周(adjective)+一切(noun)+个个(noun)+万(noun)+万事(noun)+万物(noun)+万象(noun)+全(pronoun)+全都(pronoun)+悉(pronoun)+悉数(pronoun)+诸(pronoun)+通共(adverb)+通通(adverb)+统(adverb)+统统(adverb)+整天(adverb)+|
he was awarded the national medal of technology in 2006 the same year he donated all of his prototypes and related documents to the smithsonian institute|institute|他,被,授予,美国,国家,技术,奖,2006,年,的,同年,他,捐出,全部,他,的,原型,和,史密森,学会,有关,的,文件|学会|学会|noun|研究所|研究所|研究所(noun)+学院(noun)+学会(noun)+创制(verb)+|
baer is survived by two sons and a daughter and four grandchildren|two|baer,遗下,两,个,儿子,、,,一,个,女儿,和,四,个,孙子,孙女|||CD||二|二()+双()+贰(noun)+|
baer is survived by two sons and a daughter and four grandchildren|daughter|baer,遗下,两,个,儿子,、,,一,个,女儿,和,四,个,孙子,孙女|女儿|女儿|noun|女儿|女儿|女儿(noun)+女孩儿(noun)+女(noun)+姑娘(noun)+|
baer is survived by two sons and a daughter and four grandchildren|four|baer,遗下,两,个,儿子,、,,一,个,女儿,和,四,个,孙子,孙女|四|四|CD||四|四()+|
his wife dena died in 2006|wife|dena,于,2006,年,去世,的,妻子|妻子|妻子|noun|妻子|妻子|妻子(noun)+妻(noun)+太太(noun)+爱人(noun)+家眷(noun)+伉(noun)+老伴儿(noun)+内人(noun)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|wife|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|妻子|妻子|noun|妻子|妻子|妻子(noun)+妻(noun)+太太(noun)+爱人(noun)+家眷(noun)+伉(noun)+老伴儿(noun)+内人(noun)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|south|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|南|南非|adverb||南|南(adjective)+南方的(adjective)+南(noun)+南方(noun)+南面(noun)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|forgive|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|原谅|原谅|verb|原谅|原谅|原谅(verb)+宥(verb)+宽恕(verb)+饶恕(verb)+恕(verb)+贷(verb)+宽待(verb)+谅(verb)+饶(verb)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|those|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|那些|那些|DT||那些|那些(adjective)+那(adjective)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|who|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|||pronoun|谁|谁|谁(pronoun)+何人(pronoun)+孰(pronoun)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|death|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|死亡|死亡|noun|死亡|死亡|死亡(noun)+长眠(noun)+死命(noun)+终(noun)+诛(noun)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|during|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|||preposition|中|中|中(preposition)+在 ... 期间(preposition)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|rescue|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|营救|营救|noun|保全|拯救|拯救(verb)+营救(verb)+抢救(verb)+解救(verb)+救(verb)+挽救(verb)+保全(verb)+搭救(verb)+捄(verb)+拯(verb)+保全(noun)+|
the wife of slain south african hostage pierre korkie has said she chooses to forgive those who caused his death during a botched rescue attempt in yemen|attempt|皮埃尔,korkie,所,说,的,被杀,南非,人质,的,妻子,，,她,选择,原谅,那些,导致,他,的,死亡,在,拙劣,的,营救,期间,在,也门|||noun|尝试|尝试|尝试(noun)+企图(noun)+图(noun)+尝试(verb)+试图(verb)+企图(verb)+啧(verb)+|
today we are here to choose|today|今天,我们,在,这里,选择|||noun|这天|今天|今天(adverb)+今日(adverb)+今(adverb)+今儿(adverb)+这天(adverb)+这天(noun)+|
today we are here to choose|we|今天,我们,在,这里,选择|我们|我们|pronoun|我们|我们|我们(pronoun)+咱(pronoun)+咱们(pronoun)+朕(pronoun)+|
today we are here to choose|here|今天,我们,在,这里,选择|这里|这里|adverb|这里|这里|这里(adverb)+此(adverb)+这儿(adverb)+此地(adverb)+此间(adverb)+焉(adverb)+|
today we are here to choose|choose|今天,我们,在,这里,选择|选择|选择|verb|选择|选择|选择(verb)+选(verb)+拣(verb)+举(verb)+抉(verb)+遴(verb)+遴选(verb)+评(verb)+评选(verb)+取(verb)+铨(verb)+獀(verb)+提选(verb)+挑(verb)+拔(verb)+挑拣(verb)+挑选(verb)+推(verb)+推举(verb)+推选(verb)+选拔(verb)+选购(verb)+择(verb)+甄拔(verb)+诹(verb)+挑定(verb)+|
to choose to forgive those that caused pierres death|choose|选择,原谅,那些,造成,皮尔斯,死亡|择|选择|verb|选择|选择|选择(verb)+选(verb)+拣(verb)+举(verb)+抉(verb)+遴(verb)+遴选(verb)+评(verb)+评选(verb)+取(verb)+铨(verb)+獀(verb)+提选(verb)+挑(verb)+拔(verb)+挑拣(verb)+挑选(verb)+推(verb)+推举(verb)+推选(verb)+选拔(verb)+选购(verb)+择(verb)+甄拔(verb)+诹(verb)+挑定(verb)+|
to choose to forgive those that caused pierres death|forgive|选择,原谅,那些,造成,皮尔斯,死亡|原谅|原谅|verb|原谅|原谅|原谅(verb)+宥(verb)+宽恕(verb)+饶恕(verb)+恕(verb)+贷(verb)+宽待(verb)+谅(verb)+饶(verb)+|
to choose to forgive those that caused pierres death|those|选择,原谅,那些,造成,皮尔斯,死亡|那些|那些|DT||那些|那些(adjective)+那(adjective)+|
to choose to forgive those that caused pierres death|death|选择,原谅,那些,造成,皮尔斯,死亡|死亡|死亡|noun|死亡|死亡|死亡(noun)+长眠(noun)+死命(noun)+终(noun)+诛(noun)+|
what will it help to accuse|what|它,将,有助于,指责|||WDT||什么|什么(adjective)+哪(adjective)+奚(adjective)+多么(pronoun)+何(pronoun)+曷(pronoun)+孰(pronoun)+|
what will it help to accuse|help|它,将,有助于,指责|助|有助于|verb|帮助|帮助|帮助(verb)+协助(verb)+帮(verb)+帮忙(verb)+支援(verb)+助(verb)+济(verb)+帮扶(verb)+辅助(verb)+扶助(verb)+扶持(verb)+扶(verb)+搭手(verb)+促进(verb)+促成(verb)+成全(verb)+补(verb)+弼(verb)+救援(verb)+输将(verb)+赈济(verb)+赈(verb)+援(verb)+佑(verb)+宥(verb)+赢(verb)+嬴(verb)+翊(verb)+协(verb)+救(verb)+襄(verb)+臂助(noun)+补益(noun)+促成(noun)+促进(noun)+辅助(noun)+援助(noun)+赈(noun)+赈济(noun)+|
what will it help to accuse|accuse|它,将,有助于,指责|||verb|指控|指控|指控(verb)+控(verb)+控告(verb)+告(verb)+控诉(verb)+攻(verb)+讦(verb)+弹(verb)+|
what will it help to find out what happened|what|究竟,甚么,才,会,有助于,找出,发生,了,什么,事|什么|什么|WDT||什么|什么(adjective)+哪(adjective)+奚(adjective)+多么(pronoun)+何(pronoun)+曷(pronoun)+孰(pronoun)+|
what will it help to find out what happened|help|究竟,甚么,才,会,有助于,找出,发生,了,什么,事|助|有助于|verb|帮助|帮助|帮助(verb)+协助(verb)+帮(verb)+帮忙(verb)+支援(verb)+助(verb)+济(verb)+帮扶(verb)+辅助(verb)+扶助(verb)+扶持(verb)+扶(verb)+搭手(verb)+促进(verb)+促成(verb)+成全(verb)+补(verb)+弼(verb)+救援(verb)+输将(verb)+赈济(verb)+赈(verb)+援(verb)+佑(verb)+宥(verb)+赢(verb)+嬴(verb)+翊(verb)+协(verb)+救(verb)+襄(verb)+臂助(noun)+补益(noun)+促成(noun)+促进(noun)+辅助(noun)+援助(noun)+赈(noun)+赈济(noun)+|
what will it help to find out what happened|find|究竟,甚么,才,会,有助于,找出,发生,了,什么,事|||verb|搜寻|发现|发现(noun)+拾物(noun)+搜寻(verb)+搜索(verb)+发觉(verb)+感到(verb)+感觉到(verb)+检测(verb)+薮(verb)+偷(verb)+|
what will it help to find out what happened|what|究竟,甚么,才,会,有助于,找出,发生,了,什么,事|什么|什么|pronoun|多么|什么|什么(adjective)+哪(adjective)+奚(adjective)+多么(pronoun)+何(pronoun)+曷(pronoun)+孰(pronoun)+|
will it bring pierre back|bring|它,将,把,皮埃尔,带回,来,吗|||verb|带来|带来|带来(verb)+产生(verb)+促使(verb)+拿来(verb)+输(verb)+输送(verb)+停下(verb)+|
will it bring pierre back|back|它,将,把,皮埃尔,带回,来,吗|||adverb|向后|背面|背面(noun)+后(noun)+后面(noun)+后边(noun)+后部(noun)+后身(noun)+脊(noun)+脊背(noun)+腰(noun)+腰杆子(noun)+向后(adverb)+以前(adverb)+后边的(adjective)+后部的(adjective)+后的(adjective)+后面的(adjective)+赌钱(verb)+冀(verb)+襄(verb)+翊(verb)+支持(verb)+|
we choose to let it go she said|we|我们,选择,让,它,去吧,，,她,说|||pronoun|我们|我们|我们(pronoun)+咱(pronoun)+咱们(pronoun)+朕(pronoun)+|
we choose to let it go she said|choose|我们,选择,让,它,去吧,，,她,说|选择|选择|verb|选择|选择|选择(verb)+选(verb)+拣(verb)+举(verb)+抉(verb)+遴(verb)+遴选(verb)+评(verb)+评选(verb)+取(verb)+铨(verb)+獀(verb)+提选(verb)+挑(verb)+拔(verb)+挑拣(verb)+挑选(verb)+推(verb)+推举(verb)+推选(verb)+选拔(verb)+选购(verb)+择(verb)+甄拔(verb)+诹(verb)+挑定(verb)+|
we choose to let it go she said|let|我们,选择,让,它,去吧,，,她,说|让|让|verb|让|让|让(verb)+允许(verb)+出租(verb)+放出(verb)+给(verb)+虽(verb)+虽然(verb)+虽说(verb)+随(verb)+听(verb)+听凭(verb)+听任(verb)+|
we choose to let it go she said|go|我们,选择,让,它,去吧,，,她,说|去|去吧|verb|去|去|去(verb)+走(verb)+前往(verb)+从事(verb)+徂(verb)+赴(verb)+离去(verb)+适(verb)+行(verb)+诣(verb)+游(verb)+去(noun)+进行(noun)+|
pierre korkie was killed friday in yemen when the us military launched a failed raid to rescue another hostage american photojournalist luke somers who also was killed|when|皮埃尔,korkie,星期五,被,打死,在,也门,时,，,美国,军方,发起,了,发生,故障,的,raid,去,救,另,一,个,人质,美国,摄影,记者,卢克萨默斯,也,被炸死,的,人|||adverb|何时|何时|何时(adverb)+曷(adverb)+几时(adverb)+洎(adverb)+日子(noun)+等(conjunction)+于(conjunction)+|
pierre korkie was killed friday in yemen when the us military launched a failed raid to rescue another hostage american photojournalist luke somers who also was killed|us|皮埃尔,korkie,星期五,被,打死,在,也门,时,，,美国,军方,发起,了,发生,故障,的,raid,去,救,另,一,个,人质,美国,摄影,记者,卢克萨默斯,也,被炸死,的,人|||pronoun|我们|我们|我们(pronoun)+|
pierre korkie was killed friday in yemen when the us military launched a failed raid to rescue another hostage american photojournalist luke somers who also was killed|military|皮埃尔,korkie,星期五,被,打死,在,也门,时,，,美国,军方,发起,了,发生,故障,的,raid,去,救,另,一,个,人质,美国,摄影,记者,卢克萨默斯,也,被炸死,的,人|军方|军方|adjective|军事|军事|军事(adjective)+军用(adjective)+军(adjective)+军方(adjective)+兵(adjective)+武(adjective)+军队(noun)+|
pierre korkie was killed friday in yemen when the us military launched a failed raid to rescue another hostage american photojournalist luke somers who also was killed|raid|皮埃尔,korkie,星期五,被,打死,在,也门,时,，,美国,军方,发起,了,发生,故障,的,raid,去,救,另,一,个,人质,美国,摄影,记者,卢克萨默斯,也,被炸死,的,人|||noun|袭击|袭击|袭击(noun)+劫(verb)+进犯(verb)+袭(verb)+|
